VIET_secure_chest;Very Secure Chest;Coffre très sécurisé;;;;;;;;;;;;x
VIET_secure_chest_desc;The lock on this chest is extremely difficult to break or lockpick. Its owner can rest assured whatever they keep in it is safe.;La serrure de ce coffre est extrêmement difficile à casser ou à crocheter. Son propriétaire peut être assuré que tout ce qu'il gardent est en sécurité.;;;;;;;;;;;;x
VIET_hand_mirror;Glass Hand Mirror;Miroir à main en verre;;;;;;;;;;;;x
VIET_hand_mirror_desc;It is rare to find a glass mirror that is clear like this one.;Il est rare de trouver un miroir en verre clair comme celui-ci.;;;;;;;;;;;;x
VIET_chess_set;Ivory Chess Set;Jeu d'échecs en ivoire;;;;;;;;;;;;x
VIET_chess_set_desc;A set of chess pieces, intricately carved from ivory. Used to either play chess or make it seem like you know how to play chess.;Un ensemble de pièces d'échecs, finement sculptées dans de l'ivoire. Utilisé pour jouer aux échecs ou faire croire que vous savez jouer aux échecs.;;;;;;;;;;;;x
VIET_dice;Bone Dice;Dés en os;;;;;;;;;;;;x
VIET_dice_desc;Dice for playing games and gambling, made out of some sort of animal bone.;Des dés pour des jeux de hasard et d'argent, fabriqués à partir d'une sorte d'os animal.;;;;;;;;;;;;x
VIET_silk_slippers;Silk Slippers;Pantoufles de soie;;;;;;;;;;;;x
VIET_silk_slippers_desc;Footwear fit for only the most decadent and self-indulgent of people.;Des chaussures dignes des personnes les plus décadentes et les plus indulgentes.;;;;;;;;;;;;x
VIET_porcelain_chopsticks;Porcelain Chopsticks;Baguettes En Porcelaine;;;;;;;;;;;;x
VIET_porcelain_chopsticks_desc;A pair of chopsticks from the far east, made out of porcelain.;Une paire de baguettes d'Extrême-Orient, en porcelaine.;;;;;;;;;;;;x
VIET_hellenic_statue_female;Female Marble Statue;Statue de Femme En Marbre;;;;;;;;;;;;x
VIET_hellenic_statue_female_desc;An ancient marble statue of a woman or goddess, perhaps carved by the pagan Greeks or Romans.;Une ancienne statue en marbre représentant une femme ou une déesse, sculptée peut-être par les païens grecs ou romains.;;;;;;;;;;;;x
VIET_hellenic_statue_male;Male Marble Statue;Statue d'Homme En Marbre;;;;;;;;;;;;x
VIET_hellenic_statue_male_desc;An ancient marble statue of a man or god, perhaps carved by the pagan Greeks or Romans.;Une ancienne statue en marbre représentant un homme ou un dieu, peut-être sculptée par les païens grecs ou romains.;;;;;;;;;;;;x
VIET_dinosaur_bone;Mythical Creature's Bone;Os de créature mythique;;;;;;;;;;;;x
VIET_dinosaur_bone_desc;A large bone that may have belonged to a legendary, antediluvian creature.;Un gros os qui pourrait avoir appartenu à une créature légendaire, antédiluvienne.;;;;;;;;;;;;x
VIET_lusty_argonian_maid;The Lusty [From.OriginalOwner.Culture.GetName] Maid;La vigoureuse femme de chambre [From.OriginalOwner.Culture.GetName];;;;;;;;;;;;x
VIET_lusty_argonian_maid_desc;A play about the bawdy adventures of a [From.OriginalOwner.Culture.GetName] girl.;Une pièce sur les aventures débiles d'une fille [From.OriginalOwner.Culture.GetName].;;;;;;;;;;;;x
VIET_guan_yu_statue;Statue of Guan Yu;Statue de Guan Yu;;;;;;;;;;;;x
VIET_guan_yu_statue_desc;A small, beautiful sculpture of Guan Yu, the Chinese God of War, stands watch over whoever owns it.;Une belle et petite sculpture de Guan Yu, le Dieu Chinois de la Guerre, surveille qui que ce soit qui le possède.;;;;;;;;;;;;x
VIET_pewter_spoon;Pewter Spoon;Cuillère en étain;;;;;;;;;;;;x
VIET_pewter_spoon_desc;A good spoon used to eat good food.;Une bonne cuillère utilisée d'habitude pour manger de la bonne nourriture.;;;;;;;;;;;;x
VIET_measuring_rod;Measuring Rod;Tige de mesure;;;;;;;;;;;;x
VIET_measuring_rod_desc;To measure things is to know them, to know them is to control them.;Mesurer les choses, c'est les connaître, les connaître, c'est les contrôler.;;;;;;;;;;;;x
VIET_flower_vase;Flower Vase;Vase à fleurs;;;;;;;;;;;;x
VIET_flower_vase_desc;A lovely flower vase, expertly made with intricate designs. It is a cornerstone of any home's decor.;Un joli vase à fleurs, conçu avec des motifs complexes. C'est la pierre angulaire du décor de toute maison.;;;;;;;;;;;;x
VIET_ancient_statue_desert;Ancient Statue;Statue antique;;;;;;;;;;;;x
VIET_ancient_statue_desert_desc;An ancient statue that was found in the desert. Who made it, and for what purpose did it serve?;Une statue antique qui a été trouvée dans le désert. Qui l'a fabriqué et dans quel but l'a-t-elle pu servir ?;;;;;;;;;;;;x
VIET_prehistoric_bone_flute;Ancient Bone Flute;Flûte à os antique;;;;;;;;;;;;x
VIET_prehistoric_bone_flute_desc;A flute from antediluvian times, made from the bone of a large creature or man.;Flûte des temps antédiluviens, fabriquée à partir d'os d'une grande créature ou d'un homme.;;;;;;;;;;;;x
VIET_celtic_stone_head;Ancient Stone Head;Tête de pierre ancienne;;;;;;;;;;;;x
VIET_celtic_stone_head_desc;Fine stone, carved into the shape of a mustached man by the ancients.;Pierre fine, taillée dans la forme d'un moustachu par les anciens.;;;;;;;;;;;;x
VIET_weighing_scales;Weighing Scales;Balance De Pesage;;;;;;;;;;;;x
VIET_weighing_scales_desc;It is important to trust the scales one use, lest one be duped by knaves and cheats.;Il est important de faire confiance aux balances que l'on utilise pour éviter de se faire duper par des fripons et des tricheurs.;;;;;;;;;;;;x
VIET_hammer;Common Hammer;Marteau commun;;;;;;;;;;;;x
VIET_hammer_desc;If the only tool you have is a hammer, every problem will look like a nail.;Si le seul outil dont vous disposez est un marteau, chaque problème ressemblera à un clou.;;;;;;;;;;;;x
VIET_trusty_shovel;Trusty Shovel;Pelle de confiance;;;;;;;;;;;;x
VIET_trusty_shovel_desc;Useful for digging or moving materials, and occasionally for smacking someone on the head.;Utile pour creuser ou déplacer des matériaux, et occasionnellement pour frapper quelqu'un sur la tête.;;;;;;;;;;;;x
VIET_leather_knapsack;Leather Knapsack;Sac à dos en cuir;;;;;;;;;;;;x
VIET_leather_knapsack_desc;Why carry something in your hands when you can put it in a trusty knapsack?;Pourquoi porter quelque chose dans vos mains quand vous pouvez le mettre dans un fidèle sac à dos ?;;;;;;;;;;;;x
VIET_landscape_painting_lake;Landscape Painting (Lake);Peinture de paysage (lac);;;;;;;;;;;;x
VIET_landscape_painting_lake_desc;A lovely painting of a lake. It so realistic, as if one can bathe in its cool waters!;Une belle peinture d'un lac. C'est si réaliste, comme si on pouvait se baigner dans ses eaux fraîches !;;;;;;;;;;;;x
VIET_landscape_painting_ruin;Landscape Painting (Ruin);Peinture de paysage (ruine);;;;;;;;;;;;x
VIET_landscape_painting_ruin_desc;A thoughtful painting of an ancient ruin. What secrets does it hold?;Une peinture réfléchie d'une ruine ancienne. Quels secrets détient-elle ?;;;;;;;;;;;;x
VIET_landscape_painting_forest;Landscape Painting (Forest);Peinture de paysage (forêt);;;;;;;;;;;;x
VIET_landscape_painting_forest_desc;A gorgeous painting of a forest, a lush vision of the possibilities of life.;Une peinture magnifique d'une forêt, une vision luxuriante des possibilités de la vie.;;;;;;;;;;;;x
VIET_wooden_bowl;Wooden Bowl;Bol en bois;;;;;;;;;;;;x
VIET_wooden_bowl_desc;Though this wooden bowl is simple, one must remember that there can be beauty in simplicity.;Bien que ce bol en bois soit simple, il ne faut pas oublier qu'il peut y avoir de la beauté dans la simplicité.;;;;;;;;;;;;x
VIET_shadowbanish_wine_recipe;Recipe for "Shadow Banish" Wine;Recette pour le vin "Shadow Banish";;;;;;;;;;;;x
VIET_shadowbanish_wine_recipe_desc;Developed by an alchemist years ago, this wine purportedly improves one's eyesight at night.;Développé par un alchimiste il y a quelques années, ce vin est censé améliorer la vue la nuit.;;;;;;;;;;;;x
VIET_oblivion_dream_book_alt;Dream of Another World;Rêve d'un Autre Monde;;;;;;;;;;;;x
VIET_oblivion_dream_book_alt_desc;This scroll recounts a dream [From.OriginalOwner.GetTitledName] had where [From.OriginalOwner.GetSheHe] was supposed to help a long-lost Prince and defeat the hordes of hell led by [From.OriginalOwner.Religion.GetRandomEvilGodName] but instead ran around doing random quests and errands for the locals.;Ce parchemin raconte un rêve que [From.OriginalOwner.GetTitledName] avait où [From.OriginalOwner.GetSheHe] était censé aider un Prince perdu depuis longtemps et vaincre les hordes de l'enfer menées par [From.OriginalOwner.Religion.GetRandomEvilGodName] mais à la place, il courait partout en faisant des quêtes et des courses au hasard pour les habitants.;;;;;;;;;;;;x
VIET_reliable_lockpick;Reliable Lockpick;Système de verrouillage fiable;;;;;;;;;;;;x
VIET_reliable_lockpick_desc;A useful tool for unlocking anything. Well, almost anything - it probably can't unlock the secrets of life or love, but who knows?;Un outil utile pour débloquer quoi que ce soit. Enfin, presque tout - il ne peut probablement pas dévoiler les secrets de la vie ou de l'amour, mais qui sait ?;;;;;;;;;;;;x
VIET_ceramic_tankard;Ceramic Tankard;Tankard en céramique;;;;;;;;;;;;x
VIET_ceramic_tankard_desc;A simple, modest cup for drinking. Surely, its owner must also be of a humble temperament.;Une tasse simple et modeste pour boire. Il est certain que son propriétaire doit aussi être d'un tempérament humble.;;;;;;;;;;;;x
xxxxxx;xxxxx;xxxxx;;;;;;;;;;;;x
